i,x,y,z
0,1.01257,1.25988,0.99144
1,1.04882,1.52386,0.985992
2,1.10718,1.798,0.984174
3,1.1868,2.08797,0.986726
4,1.28743,2.39922,0.99464
5,1.40934,2.73712,1.0092
6,1.55332,3.10708,1.03203
7,1.72057,3.51466,1.06521
8,1.91275,3.96562,1.11134
9,2.1319,4.46604,1.17368
10,2.38046,5.0223,1.25634
11,2.66128,5.64113,1.36444
12,2.97757,6.32956,1.50439
13,3.33293,7.09483,1.68415
14,3.73132,7.94427,1.91361
15,4.17699,8.88498,2.20495
16,4.67445,9.9235,2.57316
17,5.22836,11.0651,3.03643
18,5.84333,12.3132,3.61674
19,6.52371,13.6678,4.3402
20,7.27325,15.1243,5.23736
21,8.09456,16.6714,6.34308
22,8.98853,18.2883,7.69594
23,9.95341,19.9424,9.33664
24,10.9838,21.5859,11.3052
25,12.0695,23.153,13.6365
26,13.1939,24.5583,16.3536
27,14.333,25.6974,19.4593
28,15.4545,26.4512,22.9265
29,16.5173,26.6956,26.6884
30,17.4728,26.3161,30.6322
31,18.2676,25.2285,34.5995
32,18.8474,23.4,38.3966
33,19.1633,20.866,41.8152
34,19.178,17.7367,44.6627
35,18.8717,14.1876,46.7939
36,18.2451,10.4355,48.1346
37,17.3204,6.70434,48.692
38,16.1379,3.19259,48.5465
39,14.7506,0.0486366,47.8306
40,13.2177,-2.63936,46.7013
41,11.5984,-4.84063,45.3145
42,9.94675,-6.56994,43.8069
43,8.30882,-7.87222,42.2858
44,6.72108,-8.80795,40.8277
45,5.21049,-9.44175,39.4806
46,3.79545,-9.83486,38.2698
47,2.48708,-10.0411,37.2038
48,1.29079,-10.1053,36.2798
49,0.207621,-10.0633,35.4876
50,-0.764507,-9.94325,34.8135
51,-1.62981,-9.76646,34.2418
52,-2.39387,-9.54911,33.757
53,-3.06307,-9.30334,33.3439
54,-3.64422,-9.03831,32.9888
55,-4.14419,-8.76101,32.6792
56,-4.56983,-8.47686,32.4044
57,-4.92777,-8.19022,32.155
58,-5.2244,-7.90465,31.923
59,-5.4658,-7.62315,31.702
60,-5.65774,-7.3483,31.4867
61,-5.80567,-7.08234,31.2728
62,-5.91473,-6.82724,31.0572
63,-5.98973,-6.58467,30.8375
64,-6.03517,-6.35606,30.6121
65,-6.05526,-6.14261,30.38
66,-6.05389,-5.94526,30.1407
67,-6.03468,-5.76472,29.8942
68,-6.00096,-5.60147,29.6409
69,-5.95576,-5.45582,29.3811
70,-5.90185,-5.32785,29.1158
71,-5.84175,-5.21751,28.8457
72,-5.77771,-5.12461,28.5719
73,-5.71176,-5.04882,28.2953
74,-5.64569,-4.98975,28.0172
75,-5.58107,-4.94692,27.7384
76,-5.51929,-4.91983,27.4602
77,-5.46155,-4.90794,27.1834
78,-5.40888,-4.91069,26.9092
79,-5.36218,-4.92754,26.6386
80,-5.32218,-4.95796,26.3725
81,-5.28953,-5.00146,26.1118
82,-5.26473,-5.05754,25.8574
83,-5.24822,-5.12577,25.6103
84,-5.24034,-5.20573,25.3713
85,-5.24137,-5.29703,25.1413
86,-5.25153,-5.39934,24.9212
87,-5.27098,-5.51231,24.7119
88,-5.29983,-5.63562,24.5141
89,-5.33816,-5.76898,24.329
90,-5.386,-5.91207,24.1572
91,-5.44337,-6.06457,23.9998
92,-5.51023,-6.22615,23.8578
93,-5.58653,-6.39641,23.732
94,-5.67217,-6.57493,23.6235
95,-5.76703,-6.76122,23.5333
96,-5.87095,-6.9547,23.4623
97,-5.9837,-7.15469,23.4117
98,-6.10505,-7.36042,23.3824
99,-6.23466,-7.57096,23.3755
100,-6.37217,-7.78526,23.3918
101,-6.51712,-8.00211,23.4323
102,-6.66898,-8.2201,23.4978
103,-6.82712,-8.43765,23.589
104,-6.99082,-8.65301,23.7065
105,-7.15926,-8.86421,23.8506
106,-7.33148,-9.06911,24.0217
107,-7.50641,-9.26537,24.2195
108,-7.68285,-9.45051,24.4437
109,-7.85948,-9.62192,24.6936
110,-8.03483,-9.77689,24.968
111,-8.20734,-9.9127,25.2654
112,-8.37532,-10.0266,25.5838
113,-8.537,-10.1161,25.9207
114,-8.69051,-10.1786,26.2731
115,-8.83397,-10.212,26.6377
116,-8.96548,-10.2145,27.0105
117,-9.08316,-10.1847,27.3873
118,-9.18521,-10.1219,27.7636
119,-9.26996,-10.0258,28.1346
120,-9.3359,-9.89669,28.4954
121,-9.38173,-9.73581,28.8411
122,-9.40642,-9.54486,29.167
123,-9.40923,-9.32628,29.4686
124,-9.38975,-9.08306,29.742
125,-9.34793,-8.81873,29.9836
126,-9.28407,-8.5372,30.1905
127,-9.19884,-8.24268,30.3606
128,-9.09323,-7.93952,30.4922
129,-8.96859,-7.63209,30.5847
130,-8.82651,-7.32465,30.6379
131,-8.66887,-7.02123,30.6525
132,-8.49769,-6.72552,30.6296
133,-8.31518,-6.44083,30.571
134,-8.12359,-6.17002,30.4787
135,-7.92523,-5.91543,30.3551
136,-7.72238,-5.67896,30.203
137,-7.51727,-5.462,30.025
138,-7.31202,-5.26551,29.8241
139,-7.10861,-5.09005,29.603
140,-6.90889,-4.93582,29.3646
141,-6.71452,-4.8027,29.1113
142,-6.52699,-4.69037,28.8459
143,-6.3476,-4.59827,28.5705
144,-6.17747,-4.52573,28.2875
145,-6.01754,-4.47196,27.9988
146,-5.86859,-4.43615,27.7064
147,-5.73123,-4.41742,27.4118
148,-5.60596,-4.41494,27.1167
149,-5.49313,-4.42789,26.8226
150,-5.39298,-4.45549,26.5307
151,-5.30567,-4.49702,26.2423
152,-5.23126,-4.55185,25.9586
153,-5.16978,-4.61939,25.6806
154,-5.12116,-4.69912,25.4093
155,-5.08533,-4.79061,25.1458
156,-5.06218,-4.89348,24.8911
157,-5.05155,-5.00741,24.6459
158,-5.05329,-5.13212,24.4114
159,-5.06726,-5.26738,24.1885
160,-5.09326,-5.41298,23.978
161,-5.13114,-5.56875,23.7811
162,-5.18073,-5.7345,23.5986
163,-5.24184,-5.91004,23.4317
164,-5.31431,-6.09515,23.2813
165,-5.39795,-6.28958,23.1486
166,-5.49257,-6.493,23.0348
167,-5.59796,-6.70501,22.9409
168,-5.7139,-6.92513,22.8682
169,-5.84011,-7.15273,22.818
170,-5.97631,-7.38707,22.7914
171,-6.12214,-7.62722,22.7897
172,-6.27718,-7.87209,22.8141
173,-6.44094,-8.12037,22.8658
174,-6.61286,-8.37052,22.9459
