i,t,distance
0,0,9.52788e-008
1,0.01,1.04644e-008
2,0.02,1.10968e-008
3,0.03,1.13766e-008
4,0.04,1.14491e-008
5,0.05,1.1436e-008
6,0.06,1.13974e-008
7,0.07,1.13567e-008
8,0.08,1.13215e-008
9,0.09,1.12931e-008
10,0.1,1.12706e-008
11,0.11,1.12527e-008
12,0.12,1.12379e-008
13,0.13,1.12249e-008
14,0.14,1.12128e-008
15,0.15,1.12004e-008
16,0.16,1.1187e-008
17,0.17,1.11718e-008
18,0.18,1.11537e-008
19,0.19,1.1132e-008
20,0.2,1.11055e-008
21,0.21,1.10732e-008
22,0.22,1.10337e-008
23,0.23,1.09859e-008
24,0.24,1.09283e-008
25,0.25,1.08598e-008
26,0.26,1.07793e-008
27,0.27,1.06865e-008
28,0.28,1.05816e-008
29,0.29,1.04662e-008
30,0.3,1.03431e-008
31,0.31,1.02162e-008
32,0.32,1.00904e-008
33,0.33,9.97064e-009
34,0.34,9.86028e-009
35,0.35,9.76051e-009
36,0.36,9.66988e-009
37,0.37,9.58513e-009
38,0.38,9.5029e-009
39,0.39,9.42111e-009
40,0.4,9.33964e-009
41,0.41,9.25985e-009
42,0.42,9.18386e-009
43,0.43,9.11371e-009
44,0.44,9.05095e-009
45,0.45,8.9965e-009
46,0.46,8.95075e-009
47,0.47,8.91369e-009
48,0.48,8.88514e-009
49,0.49,8.86485e-009
50,0.5,8.85265e-009
51,0.51,8.84857e-009
52,0.52,8.85292e-009
53,0.53,8.86632e-009
54,0.54,8.8898e-009
55,0.55,8.92473e-009
56,0.56,8.97261e-009
57,0.57,9.03481e-009
58,0.58,9.11193e-009
59,0.59,9.20319e-009
60,0.6,9.30587e-009
61,0.61,9.41513e-009
62,0.62,9.52465e-009
63,0.63,9.62774e-009
64,0.64,9.71872e-009
65,0.65,9.79391e-009
66,0.66,9.85196e-009
67,0.67,9.89347e-009
68,0.68,9.92032e-009
69,0.69,9.93503e-009
70,0.7,9.94021e-009
71,0.71,9.93827e-009
72,0.72,9.93126e-009
73,0.73,9.92083e-009
74,0.74,9.90829e-009
75,0.75,9.89465e-009
76,0.76,9.8807e-009
77,0.77,9.86702e-009
78,0.78,9.8541e-009
79,0.79,9.84235e-009
80,0.8,9.83215e-009
81,0.81,9.82383e-009
82,0.82,9.8178e-009
83,0.83,9.81447e-009
84,0.84,9.81432e-009
85,0.85,9.81788e-009
86,0.86,9.82573e-009
87,0.87,9.83847e-009
88,0.88,9.85665e-009
89,0.89,9.88073e-009
90,0.9,9.91095e-009
91,0.91,9.94726e-009
92,0.92,9.98919e-009
93,0.93,1.00358e-008
94,0.94,1.00856e-008
95,0.95,1.01368e-008
96,0.96,1.01873e-008
97,0.97,1.0235e-008
98,0.98,1.02779e-008
99,0.99,1.03146e-008
100,1,1.03439e-008
101,1.01,1.03654e-008
102,1.02,1.03788e-008
103,1.03,1.03844e-008
104,1.04,1.03827e-008
105,1.05,1.03744e-008
106,1.06,1.036e-008
107,1.07,1.03403e-008
108,1.08,1.03159e-008
109,1.09,1.02874e-008
110,1.1,1.02555e-008
111,1.11,1.02206e-008
112,1.12,1.01834e-008
113,1.13,1.01444e-008
114,1.14,1.01042e-008
115,1.15,1.00635e-008
116,1.16,1.00231e-008
